Cloudlet ID;    STATUS;    Data center ID;    VM ID;        Time;    Start Time;    Finish Time
    0;        SUCCESS;        2;            0;            3.34;        0.2;            3.54
    32;        SUCCESS;        3;            32;            3.39;        0.2;            3.59
    11;        SUCCESS;        2;            11;            3.44;        0.2;            3.64
    12;        SUCCESS;        2;            12;            3.44;        0.2;            3.64
    25;        SUCCESS;        2;            25;            3.44;        0.2;            3.64
    9;        SUCCESS;        2;            9;            3.44;        0.2;            3.64
    23;        SUCCESS;        2;            23;            3.44;        0.2;            3.64
    30;        SUCCESS;        2;            30;            3.44;        0.2;            3.64
    6;        SUCCESS;        2;            6;            3.44;        0.2;            3.64
    18;        SUCCESS;        2;            18;            3.44;        0.2;            3.64
    21;        SUCCESS;        2;            21;            3.44;        0.2;            3.64
    35;        SUCCESS;        3;            35;            3.5;        0.2;            3.7
    3;        SUCCESS;        2;            3;            3.55;        0.2;            3.75
    19;        SUCCESS;        2;            19;            3.55;        0.2;            3.75
    1;        SUCCESS;        2;            1;            3.55;        0.2;            3.75
    5;        SUCCESS;        2;            5;            3.55;        0.2;            3.75
    17;        SUCCESS;        2;            17;            3.55;        0.2;            3.75
    26;        SUCCESS;        2;            26;            3.55;        0.2;            3.75
    2;        SUCCESS;        2;            2;            3.55;        0.2;            3.75
    10;        SUCCESS;        2;            10;            3.55;        0.2;            3.75
    14;        SUCCESS;        2;            14;            3.55;        0.2;            3.75
    29;        SUCCESS;        2;            29;            3.55;        0.2;            3.75
    31;        SUCCESS;        2;            31;            3.55;        0.2;            3.75
    33;        SUCCESS;        3;            33;            3.61;        0.2;            3.81
    7;        SUCCESS;        2;            7;            3.66;        0.2;            3.86
    15;        SUCCESS;        2;            15;            3.66;        0.2;            3.86
    4;        SUCCESS;        2;            4;            3.66;        0.2;            3.86
    8;        SUCCESS;        2;            8;            3.66;        0.2;            3.86
    16;        SUCCESS;        2;            16;            3.66;        0.2;            3.86
    22;        SUCCESS;        2;            22;            3.66;        0.2;            3.86
    13;        SUCCESS;        2;            13;            3.66;        0.2;            3.86
    20;        SUCCESS;        2;            20;            3.66;        0.2;            3.86
    28;        SUCCESS;        2;            28;            3.66;        0.2;            3.86
    24;        SUCCESS;        2;            24;            3.66;        0.2;            3.86
    27;        SUCCESS;        2;            27;            3.66;        0.2;            3.86
    34;        SUCCESS;        3;            34;            3.72;        0.2;            3.92
    36;        SUCCESS;        2;            0;            3.39;        3.54;            6.92
    68;        SUCCESS;        3;            32;            3.36;        3.59;            6.95
    59;        SUCCESS;        2;            23;            3.39;        3.64;            7.03
    54;        SUCCESS;        2;            18;            3.39;        3.64;            7.03
    47;        SUCCESS;        2;            11;            3.5;        3.64;            7.14
    55;        SUCCESS;        2;            19;            3.39;        3.75;            7.14
    66;        SUCCESS;        2;            30;            3.5;        3.64;            7.14
    42;        SUCCESS;        2;            6;            3.5;        3.64;            7.14
    57;        SUCCESS;        2;            21;            3.5;        3.64;            7.14
    71;        SUCCESS;        3;            35;            3.51;        3.7;            7.21
    39;        SUCCESS;        2;            3;            3.5;        3.75;            7.25
    43;        SUCCESS;        2;            7;            3.39;        3.86;            7.25
    48;        SUCCESS;        2;            12;            3.61;        3.64;            7.25
    61;        SUCCESS;        2;            25;            3.61;        3.64;            7.25
    45;        SUCCESS;        2;            9;            3.61;        3.64;            7.25
    38;        SUCCESS;        2;            2;            3.5;        3.75;            7.25
    70;        SUCCESS;        3;            34;            3.4;        3.92;            7.32
    40;        SUCCESS;        2;            4;            3.5;        3.86;            7.36
    44;        SUCCESS;        2;            8;            3.5;        3.86;            7.36
    58;        SUCCESS;        2;            22;            3.5;        3.86;            7.36
    37;        SUCCESS;        2;            1;            3.61;        3.75;            7.36
