Cloudlet ID;    STATUS;    Data center ID;    VM ID;        Time;    Start Time;    Finish Time
    64;        SUCCESS;        2;            28;            6.78;        0.2;            6.98
    66;        SUCCESS;        2;            30;            6.78;        0.2;            6.98
    29;        SUCCESS;        2;            29;            6.78;        0.2;            6.98
    67;        SUCCESS;        2;            31;            6.78;        0.2;            6.98
    71;        SUCCESS;        3;            35;            6.78;        0.2;            6.98
    28;        SUCCESS;        2;            28;            6.89;        0.2;            7.09
    30;        SUCCESS;        2;            30;            6.89;        0.2;            7.09
    68;        SUCCESS;        3;            32;            6.89;        0.2;            7.09
    31;        SUCCESS;        2;            31;            6.99;        0.2;            7.19
    35;        SUCCESS;        3;            35;            7;        0.2;            7.2
    69;        SUCCESS;        3;            33;            7;        0.2;            7.2
    65;        SUCCESS;        2;            29;            7.09;        0.2;            7.29
    32;        SUCCESS;        3;            32;            7.11;        0.2;            7.31
    33;        SUCCESS;        3;            33;            7.11;        0.2;            7.31
    34;        SUCCESS;        3;            34;            7.22;        0.2;            7.42
    70;        SUCCESS;        3;            34;            7.33;        0.2;            7.53
    49;        SUCCESS;        2;            13;            9.99;        0.2;            10.19
    87;        SUCCESS;        2;            15;            10.1;        0.2;            10.3
    40;        SUCCESS;        2;            4;            10.1;        0.2;            10.3
    76;        SUCCESS;        2;            4;            10.1;        0.2;            10.3
    25;        SUCCESS;        2;            25;            10.1;        0.2;            10.3
    92;        SUCCESS;        2;            20;            10.1;        0.2;            10.3
    38;        SUCCESS;        2;            2;            10.1;        0.2;            10.3
    74;        SUCCESS;        2;            2;            10.1;        0.2;            10.3
    42;        SUCCESS;        2;            6;            10.1;        0.2;            10.3
    10;        SUCCESS;        2;            10;            10.1;        0.2;            10.3
    7;        SUCCESS;        2;            7;            10.21;        0.2;            10.41
    83;        SUCCESS;        2;            11;            10.21;        0.2;            10.41
    4;        SUCCESS;        2;            4;            10.21;        0.2;            10.41
    97;        SUCCESS;        2;            25;            10.21;        0.2;            10.41
    9;        SUCCESS;        2;            9;            10.21;        0.2;            10.41
    85;        SUCCESS;        2;            13;            10.21;        0.2;            10.41
    53;        SUCCESS;        2;            17;            10.21;        0.2;            10.41
    26;        SUCCESS;        2;            26;            10.21;        0.2;            10.41
    50;        SUCCESS;        2;            14;            10.21;        0.2;            10.41
    21;        SUCCESS;        2;            21;            10.21;        0.2;            10.41
    93;        SUCCESS;        2;            21;            10.21;        0.2;            10.41
    24;        SUCCESS;        2;            24;            10.21;        0.2;            10.41
    12;        SUCCESS;        2;            12;            10.32;        0.2;            10.52
    16;        SUCCESS;        2;            16;            10.32;        0.2;            10.52
