Cloudlet ID;    STATUS;    Data center ID;    VM ID;        Time;    Start Time;    Finish Time
    4;        SUCCESS;        2;            0;            3.33;        0.2;            3.53
    16;        SUCCESS;        2;            3;            3.44;        0.2;            3.64
    78;        SUCCESS;        2;            7;            3.44;        0.2;            3.64
    8;        SUCCESS;        2;            11;            3.44;        0.2;            3.64
    91;        SUCCESS;        2;            15;            3.44;        0.2;            3.64
    25;        SUCCESS;        2;            4;            3.44;        0.2;            3.64
    93;        SUCCESS;        2;            8;            3.44;        0.2;            3.64
    22;        SUCCESS;        2;            12;            3.44;        0.2;            3.64
    60;        SUCCESS;        2;            16;            3.44;        0.2;            3.64
    51;        SUCCESS;        2;            19;            3.44;        0.2;            3.64
    10;        SUCCESS;        2;            22;            3.44;        0.2;            3.64
    0;        SUCCESS;        2;            25;            3.44;        0.2;            3.64
    45;        SUCCESS;        2;            1;            3.44;        0.2;            3.64
    73;        SUCCESS;        2;            5;            3.44;        0.2;            3.64
    72;        SUCCESS;        2;            9;            3.44;        0.2;            3.64
    70;        SUCCESS;        2;            13;            3.44;        0.2;            3.64
    44;        SUCCESS;        2;            17;            3.44;        0.2;            3.64
    65;        SUCCESS;        2;            20;            3.44;        0.2;            3.64
    96;        SUCCESS;        2;            23;            3.44;        0.2;            3.64
    30;        SUCCESS;        2;            26;            3.44;        0.2;            3.64
    36;        SUCCESS;        2;            28;            3.44;        0.2;            3.64
    3;        SUCCESS;        2;            2;            3.44;        0.2;            3.64
    69;        SUCCESS;        2;            6;            3.44;        0.2;            3.64
    97;        SUCCESS;        2;            10;            3.44;        0.2;            3.64
    63;        SUCCESS;        2;            14;            3.44;        0.2;            3.64
    28;        SUCCESS;        2;            18;            3.44;        0.2;            3.64
    7;        SUCCESS;        2;            21;            3.44;        0.2;            3.64
    95;        SUCCESS;        2;            24;            3.44;        0.2;            3.64
    56;        SUCCESS;        2;            27;            3.44;        0.2;            3.64
    74;        SUCCESS;        3;            32;            3.46;        0.2;            3.66
    79;        SUCCESS;        3;            33;            3.46;        0.2;            3.66
    32;        SUCCESS;        2;            30;            3.55;        0.2;            3.75
    49;        SUCCESS;        2;            29;            3.55;        0.2;            3.75
    33;        SUCCESS;        2;            31;            3.55;        0.2;            3.75
    92;        SUCCESS;        3;            35;            3.57;        0.2;            3.77
    58;        SUCCESS;        3;            34;            3.57;        0.2;            3.77
    5;        SUCCESS;        2;            0;            3.47;        3.53;            7
    54;        SUCCESS;        2;            1;            3.47;        3.64;            7.11
    9;        SUCCESS;        3;            32;            3.56;        3.66;            7.21
    61;        SUCCESS;        2;            3;            3.58;        3.64;            7.22
    55;        SUCCESS;        2;            7;            3.58;        3.64;            7.22
    83;        SUCCESS;        2;            11;            3.58;        3.64;            7.22
    76;        SUCCESS;        2;            15;            3.58;        3.64;            7.22
    59;        SUCCESS;        2;            4;            3.58;        3.64;            7.22
    67;        SUCCESS;        2;            8;            3.58;        3.64;            7.22
    75;        SUCCESS;        2;            12;            3.58;        3.64;            7.22
    88;        SUCCESS;        2;            16;            3.58;        3.64;            7.22
    62;        SUCCESS;        2;            19;            3.58;        3.64;            7.22
    84;        SUCCESS;        2;            22;            3.58;        3.64;            7.22
    68;        SUCCESS;        2;            25;            3.58;        3.64;            7.22
    64;        SUCCESS;        2;            5;            3.58;        3.64;            7.22
    85;        SUCCESS;        2;            9;            3.58;        3.64;            7.22
    43;        SUCCESS;        2;            13;            3.58;        3.64;            7.22
    6;        SUCCESS;        2;            17;            3.58;        3.64;            7.22
    81;        SUCCESS;        2;            20;            3.58;        3.64;            7.22
    20;        SUCCESS;        2;            23;            3.58;        3.64;            7.22
    50;        SUCCESS;        2;            26;            3.58;        3.64;            7.22
    31;        SUCCESS;        2;            28;            3.58;        3.64;            7.22
    1;        SUCCESS;        2;            2;            3.58;        3.64;            7.22
    82;        SUCCESS;        2;            6;            3.58;        3.64;            7.22
    34;        SUCCESS;        2;            10;            3.58;        3.64;            7.22
    38;        SUCCESS;        2;            14;            3.58;        3.64;            7.22
    80;        SUCCESS;        2;            18;            3.58;        3.64;            7.22
    86;        SUCCESS;        2;            21;            3.58;        3.64;            7.22
    46;        SUCCESS;        2;            24;            3.58;        3.64;            7.22
    11;        SUCCESS;        2;            27;            3.58;        3.64;            7.22
    2;        SUCCESS;        3;            33;            3.67;        3.66;            7.32
    99;        SUCCESS;        2;            30;            3.58;        3.75;            7.33
    17;        SUCCESS;        2;            29;            3.58;        3.75;            7.33
    94;        SUCCESS;        2;            31;            3.58;        3.75;            7.33
    57;        SUCCESS;        3;            35;            3.67;        3.77;            7.43
    35;        SUCCESS;        3;            34;            3.67;        3.77;            7.43
    71;        SUCCESS;        2;            0;            3.57;        7;            10.57
    13;        SUCCESS;        2;            1;            3.58;        7.11;            10.69
    87;        SUCCESS;        2;            3;            3.58;        7.22;            10.8
    42;        SUCCESS;        2;            2;            3.58;        7.22;            10.8
    39;        SUCCESS;        2;            7;            3.69;        7.22;            10.91
    89;        SUCCESS;        2;            11;            3.69;        7.22;            10.91
    12;        SUCCESS;        2;            15;            3.69;        7.22;            10.91
    21;        SUCCESS;        2;            4;            3.69;        7.22;            10.91
    48;        SUCCESS;        2;            8;            3.69;        7.22;            10.91
    37;        SUCCESS;        2;            12;            3.69;        7.22;            10.91
    66;        SUCCESS;        2;            16;            3.69;        7.22;            10.91
    47;        SUCCESS;        2;            19;            3.69;        7.22;            10.91
    14;        SUCCESS;        2;            22;            3.69;        7.22;            10.91
    41;        SUCCESS;        2;            25;            3.69;        7.22;            10.91
    26;        SUCCESS;        2;            5;            3.69;        7.22;            10.91
    24;        SUCCESS;        2;            9;            3.69;        7.22;            10.91
    77;        SUCCESS;        2;            13;            3.69;        7.22;            10.91
    15;        SUCCESS;        2;            17;            3.69;        7.22;            10.91
    90;        SUCCESS;        2;            20;            3.69;        7.22;            10.91
    40;        SUCCESS;        2;            23;            3.69;        7.22;            10.91
    23;        SUCCESS;        2;            26;            3.69;        7.22;            10.91
    27;        SUCCESS;        2;            6;            3.69;        7.22;            10.91
    53;        SUCCESS;        2;            10;            3.69;        7.22;            10.91
    19;        SUCCESS;        2;            14;            3.69;        7.22;            10.91
    52;        SUCCESS;        2;            18;            3.69;        7.22;            10.91
    98;        SUCCESS;        2;            21;            3.69;        7.22;            10.91
    18;        SUCCESS;        2;            24;            3.69;        7.22;            10.91
    29;        SUCCESS;        2;            27;            3.69;        7.22;            10.91
